City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,quetame,4.3323,-73.8614,20.21,91,91,0.61,CO,1669838278
201,atlantic city,39.3643,-74.4229,14.54,93,100,7.72,US,1669838278
202,sibolga,1.7427,98.7792,24.09,92,100,0.99,ID,1669838278
203,turayf,31.6725,38.6637,12.14,87,0,2.06,SA,1669838279
204,san cristobal,7.7669,-72.225,24.52,68,49,2.73,VE,1669838483
205,lovozero,68.005,35.0117,-6.59,89,100,1.84,RU,1669838279
206,iqaluit,63.7506,-68.5145,-29.06,68,68,5.36,CA,1669838494
207,severiano melo,-5.7772,-37.9578,29.77,50,96,3.44,BR,1669838280
208,souillac,-20.5167,57.5167,24.07,77,19,3.58,MU,1669838460
209,ust-uda,54.1742,103.0304,-16.82,74,100,5.24,RU,1669838280
210,yamada,39.4667,141.95,2.0,70,72,2.53,JP,1669838280
211,honningsvag,70.9821,25.9704,1.86,80,100,8.23,NO,1669838281
212,cacheu,12.2706,-16.1658,29.05,50,11,2.63,GW,1669838281
213,kaseda,31.4167,130.3167,10.4,66,96,8.46,JP,1669838282
214,pytalovo,57.0679,27.9138,-10.4,97,69,1.37,RU,1669837988
215,ilembo,-9.25,33.3833,14.44,92,95,1.64,TZ,1669838282
216,porto novo,6.4965,2.6036,26.65,79,45,2.82,BJ,1669838459
217,altay,47.8667,88.1167,-15.28,57,100,2.55,CN,1669838496
218,muravlenko,63.7898,74.523,-27.69,100,12,2.2,RU,1669838284
219,half moon bay,37.4636,-122.4286,15.08,61,0,2.06,US,1669838185
220,ahipara,-35.1667,173.1667,16.25,68,99,7.12,NZ,1669838497
221,mitu,1.1983,-70.1733,29.82,58,80,2.34,CO,1669838285
222,noumea,-22.2763,166.4572,27.22,99,97,2.09,NC,1669838285
223,kutum,14.2,24.6667,23.33,25,5,3.15,SD,1669838497
224,abilene,32.4487,-99.7331,8.76,31,51,0.45,US,1669838286
225,ossora,59.2353,163.0719,1.01,99,100,9.62,RU,1669838498
226,laguna,38.421,-121.4238,15.01,53,0,4.12,US,1669838286
227,gamba,-2.65,10.0,24.65,85,80,2.32,GA,1669838287
228,rosario,-32.9468,-60.6393,29.41,48,0,9.26,AR,1669838102
229,bethel,41.3712,-73.414,13.91,86,100,1.79,US,1669838499
230,saint anthony,45.0205,-93.218,-6.73,65,75,10.8,US,1669838617
231,san patricio,28.017,-97.5169,18.97,43,5,8.37,US,1669838617
232,yellowknife,62.456,-114.3525,-27.47,75,59,1.79,CA,1669838472
233,aruppukkottai,9.5167,78.1,22.97,78,100,2.98,IN,1669838288
234,fortuna,40.5982,-124.1573,13.14,66,75,9.77,US,1669838499
235,vila nova de milfontes,37.7238,-8.7828,14.03,93,96,1.77,PT,1669838289
236,luena,-11.7833,19.9167,16.95,95,95,0.99,AO,1669838290
237,huarmey,-10.0681,-78.1522,22.23,73,68,4.89,PE,1669838290
238,ostrovnoy,68.0531,39.5131,-6.75,94,82,3.49,RU,1669838500
239,blackwater,-23.5833,148.8833,17.68,87,100,5.05,AU,1669838291
240,lebu,-37.6167,-73.65,13.54,64,0,9.33,CL,1669838591
241,lagoa,39.05,-27.9833,16.71,75,1,3.45,PT,1669838501
242,morden,49.1919,-98.1014,-12.08,61,100,6.17,CA,1669838116
243,mount isa,-20.7333,139.5,20.87,56,0,3.09,AU,1669838619
244,tay ninh,11.3,106.1,24.29,92,100,0.69,VN,1669838292
245,darnah,32.767,22.6367,16.44,64,0,9.86,LY,1669838292
246,pochutla,15.7432,-96.4661,31.01,54,20,3.45,MX,1669838293
247,williams lake,52.1415,-122.1445,-13.86,85,100,4.63,CA,1669838293
248,wanaka,-44.7,169.15,11.73,66,29,0.45,NZ,1669838502
249,ponta do sol,32.6667,-17.1,18.17,74,4,0.51,PT,1669838502
250,winnemucca,40.973,-117.7357,7.25,26,90,3.84,US,1669838294
251,kaputa,-8.4689,29.6619,20.88,82,99,1.14,ZM,1669838295
252,doha,25.2867,51.5333,24.99,73,0,1.54,QA,1669838283
253,pisco,-13.7,-76.2167,20.57,80,58,3.89,PE,1669838620
254,san isidro,-12.1167,-77.05,23.77,60,0,6.69,PE,1669838296
255,hualmay,-11.0964,-77.6139,21.91,73,85,5.0,PE,1669838297
256,trinidad,-14.8333,-64.9,35.99,46,20,6.17,BO,1669838297
257,bengkulu,-3.8004,102.2655,23.62,88,100,1.68,ID,1669838346
258,bodden town,19.2833,-81.25,30.55,65,20,5.14,KY,1669838298
259,kruisfontein,-34.0033,24.7314,18.82,81,2,3.03,ZA,1669838621
260,abha,18.2164,42.5053,15.9,88,20,2.06,SA,1669838298
261,acajutla,13.5928,-89.8275,28.72,64,12,2.82,SV,1669838504
262,vanimo,-2.6741,141.3028,25.25,88,100,2.34,PG,1669838308
263,sudak,44.85,34.9667,7.34,72,88,4.38,UA,1669838299
264,zhangye,38.9342,100.4517,-9.72,55,1,2.1,CN,1669838504
265,suntar,62.1444,117.6319,-22.52,96,100,3.13,RU,1669838300
266,stykkisholmur,65.0757,-22.7297,7.03,93,100,6.39,IS,1669838300
267,buncrana,55.1333,-7.45,11.87,88,99,4.89,IE,1669838300
268,montepuez,-13.1256,38.9997,23.27,67,68,3.26,MZ,1669838302
269,vokhma,58.9303,46.7586,-13.93,97,55,1.24,RU,1669838302
270,pemba,-12.974,40.5178,26.39,78,20,3.6,MZ,1669838303
271,los llanos de aridane,28.6585,-17.9182,18.86,72,75,4.63,ES,1669838505
272,rognan,67.0953,15.3878,1.7,84,99,2.27,NO,1669838303
273,takoradi,4.8845,-1.7554,26.53,81,100,2.6,GH,1669838623
274,rawson,-43.3002,-65.1023,19.75,46,48,9.55,AR,1669838472
275,choya,52.0108,86.5467,-22.76,98,7,1.45,RU,1669838325
276,mankera,31.3866,71.4407,16.61,23,2,1.87,PK,1669838325
277,port arthur,38.8,121.2667,-1.88,47,99,10.21,CN,1669838624
278,ribas do rio pardo,-20.4431,-53.7592,24.34,61,99,3.57,BR,1669838326
279,ternate,0.8,127.4,27.09,81,100,2.83,ID,1669838326
280,gaya,24.7833,85.0,15.73,49,31,1.26,IN,1669838327
281,acarau,-2.8856,-40.12,27.84,67,77,7.26,BR,1669838327
282,yokadouma,3.5167,15.05,21.41,95,100,1.11,CM,1669838327
283,magrath,49.4167,-112.8686,-11.16,73,100,2.06,CA,1669838328
284,klaksvik,62.2266,-6.589,9.51,89,100,14.07,FO,1669838508
285,shimoda,34.6667,138.95,12.28,86,100,4.23,JP,1669838508
286,kemijarvi,66.7131,27.4306,-4.79,98,100,0.81,FI,1669838328
287,khatanga,71.9667,102.5,-39.7,100,55,2.41,RU,1669838226
288,vila franca do campo,37.7167,-25.4333,16.78,84,84,1.62,PT,1669838509
289,sergeyevka,53.88,67.4158,-15.51,83,100,5.17,KZ,1669838329
290,santa maria,-29.6842,-53.8069,30.9,40,50,3.66,BR,1669838510
291,maragheh,37.3917,46.2398,7.44,84,100,3.08,IR,1669838329
292,viedma,-40.8135,-62.9967,19.66,35,76,7.12,AR,1669838330
293,marawi,7.9986,124.2928,19.4,95,24,0.62,PH,1669838344
294,vardo,70.3705,31.1107,-1.01,86,20,5.66,NO,1669838330
295,yulara,-25.2406,130.9889,19.93,25,0,3.72,AU,1669838330
296,cockburn town,21.4612,-71.1419,26.95,71,0,8.39,TC,1669838331
297,salalah,17.0151,54.0924,24.29,75,12,0.54,OM,1669838238
298,ulladulla,-35.35,150.4667,13.95,84,50,1.36,AU,1669838331
299,vasteras,59.6162,16.5528,1.95,87,100,1.54,SE,1669838076
300,cabo san lucas,22.8909,-109.9124,28.61,56,94,2.23,MX,1669838331
301,manjacaze,-24.7117,33.8828,19.77,83,0,2.06,MZ,1669838332
302,necochea,-38.5473,-58.7368,15.87,74,100,6.85,AR,1669838627
